Day,Time,Statement,Emotion,Sentiment,Positive,Neutral,Negative,Anger,Bored,Excited,Fear,Happy,Sad,Keywords
Sun,9,"Hi. It's nine o'clock in the morning, and I feel great, I feel nice.",Happy,positive,0.618,0.347,0.035,0.030320471,0.076178686,0.303502829,0.121400854,0.445544348,0.023052812,"""nine oclock"",""morning"",""great"""
Sun,15,"Hi, it's 3:00 p.m. and I'm feeling good.",Excited,positive,0.639,0.321,0.04,0.029995274,0.025050658,0.532257499,0.090887825,0.313528861,0.008279883,"""good"""
Sun,21,Hi. It's nine p.m. and I feel OK.,Happy,neutral,0.174,0.753,0.073,0.054823815,0.033681781,0.256641576,0.176278332,0.43839605,0.040178446,No Keywords
Mon,9,It's nine o'clock in the morning and I feel fine.,Happy,neutral,0.34,0.528,0.132,0.039244604,0.079461417,0.240250792,0.068417541,0.537529007,0.03509664,"""nine oclock"",""morning"""
Mon,15,Hi. It's 3:00 in the afternoon. It's very gloomy and I don't feel very good.,Sad,negative,0.003,0.229,0.768,0.050590624,0.095340771,0.023254282,0.28621815,0.031480983,0.51311519,"""afternoon"",""gloomy"",""good"""
Mon,21,"Hi, it's nine p.m. and I feel great. It was a productive day. I feel nice.",Happy,positive,0.767,0.212,0.021,0.040046466,0.02632485,0.404072298,0.11011165,0.412735102,0.006709634,"""nine"",""productive day"""
Tue,9,"It's 9:00 in the morning, and I don't feel anything.",Bored,negative,0.011,0.25,0.74,0.12754608,0.357058307,0.032565628,0.185231415,0.042728349,0.254870222,"""morning"",""feel anything"""
Tue,15,Hi. It's 3:00 p.m.. I feel great.,Excited,positive,0.481,0.43,0.089,0.068642187,0.053813793,0.367514438,0.148377928,0.311234784,0.050416871,No Keywords
Wed,9,Hi. It's 10:00 AM and I feel a little stressed.,Sad,negative,0.007,0.211,0.783,0.10849976,0.143789481,0.023937644,0.335937434,0.033277237,0.354558445,"""little"""
Wed,15,"Hi, it's three thirty in the afternoon and I'm a little anxious right now.",Fear,negative,0.046,0.243,0.711,0.020417661,0.006922554,0.015195878,0.696594456,0.026139521,0.234729929,"""three thirty"",""afternoon"",""little anxious"""
Wed,21,"Hi, it's 10 p.m. and I feel all right.",Happy,neutral,0.432,0.52,0.049,0.061479343,0.017045075,0.367308018,0.085494679,0.452744757,0.015928128,No Keywords
Thu,9,It is 9:00 in the morning and I am feeling very energetic.,Excited,negative,0.108,0.305,0.588,0.072554418,0.159540459,0.28398502,0.229950193,0.15441697,0.09955294,"""morning"",""energetic"""
Thu,15,It is 3:00 in the afternoon and I feel a little tired.,Bored,negative,0.017,0.265,0.718,0.012014723,0.819471051,0.003522338,0.061678609,0.004869621,0.098443659,"""afternoon"",""little"""
Fri,15,It is 3:00 in the afternoon and I feel a little tired.,Bored,negative,0.017,0.265,0.718,0.012014723,0.819471051,0.003522338,0.061678609,0.004869621,0.098443659,"""afternoon"",""little"""
Fri,21,Hi. It's 9:00 p.m. and I'm very sleepy after a long day.,Bored,neutral,0.047,0.654,0.298,0.010066031,0.870285017,0.009892817,0.035839748,0.014559424,0.059356963,"""long day"""
Sat,9,"Hi. It is 9:00 am, and I already feel a little restless.",Sad,negative,0.015,0.341,0.644,0.061749393,0.253581888,0.020184306,0.234812951,0.022387506,0.407283957,"""little restless"""
